,Sentence,label_word,label
59,사실 내가 없었으면 못 했을 일인데 동기가 큰 활약으로 주목을 받아서 기분이 좋지 않아,부정,1
60,나이가 먹으니 앞으로 건강에 신경 써야겠어,부정,1
61,대체 뭐가 힘드노,욕설,2
62,요즘 힘들고 괴로워,부정,1
63,취업을 하기 위해서 학원을 다니고 싶은데 학원 비를 먼저 마련 해야 하니까 학원을 못 다녀서 조급해,부정,1
64,내 주변은 그저 나를 이용 하려는 사람들 뿐이야,부정,1
65,자살 하려는 사람을 막아 보려 했는데 내 힘으로는 역 부족 이었어,부정,1
66,엄청 좋다,긍정,0
67,퇴사를 생각하고 있는데 부모님께 말씀 드리 기가 조심스러워,부정,1
68,내 친구는 피부관리랑 성형으로 어찌나 관리 했던지 이십 대 때랑 똑같아,부정,1
69,중딩 같지 않은디  쥐좆만 한 년 데려다 컨셉 질 아녀,욕설,2
70,이 시간에 올리면 못 볼 줄 알아 찌 굠둥이 코코 사랑 해 인트로 새로 하는 것도 좋을 거 같아요,긍정,0
71,가수가 노래 따라 가니까 컴백 노래 제목은 영원히 나 안가 로 돌아와 주세요 컴백 해 주세요,긍정,0
72, 이혼 후 합리화 아닐까,욕설,2
73,노후 준비를 잘 해놓은 데 다가 몸도 건강해져서 노후가 여유로 워,긍정,0
74,내 친구가 당뇨인데 도 식이요법도 안하고 과자를 먹더라,부정,1
75,좆나 1000만 대작 나올듯  기,욕설,2
76,헛구역질 난다,욕설,2
77,가까운 정신과에서 상담부터,욕설,2
78,일베에는 그래도 가끔 병 신 인척 하는 정상인 위선자라도 있는데 저 긴 병 신밖에 없을듯,욕설,2
79,실제로 김대중이라고 했는데 김재중이라고 한 거라고 구라 친거라는 생각은 안 해 봣노,욕설,2
80,늙은 사람을 차별 하는 말을 들어도 아무 말도 못 하는 내가 싫어,부정,1
81,친구들한테 무시 당하는 게 일상이 되어 버려서 서러워 오늘도 말을 걸었는데 무시 당했어,부정,1
82,중요한 보고서 제출 일이 오늘까지 였는데 이제 알게 됐어 어떡하지 당황 스러워,부정,1
83,웅 연수 얼굴이 닮았어 넘 귀여워 드라마 볼때하다 한 회당 귀엽다 백 번하는듯,긍정,0
84,노래 좋다,긍정,0
85,노력으로 안되는거는 없다니가 키가 작은건 니가 노력 안 한거지 부모 탓 하지마라,욕설,2
86,글 쓴이 와 꾸 승리에 비 하면 방사 능 피폭 원숭이 일듯,욕설,2
87,퀴어들이 근데 왜 좌파냐 페미들은 사상 자체가 사회 주의자들인데 퀴어는  정신 병자들인데,욕설,2
88,너도 점점 빨대가 되가는구나,욕설,2
89,이유 없이 니 생각대로 나보다 논리적으로 생각을 잘 한다고 말 한다는 거 자체가 무식한거고 못 배웠거나 지능이 딸리거나 주의력이 부족하다는거 임 인간은 다른사람보다 분석력 주의력 같은 지적 능력이 좋아야 성공한 인생을 사는거 맞지 않냐,욕설,2
90,반 친구를 좋아한다고 고백 했는데 그 이후로 다 들 나를 이상한 애 취급 해서 당황 스러워,부정,1
91,이제는 문서 프로그램 사용이 익숙해져서 여유롭게 작성 할 수 있어,긍정,0
92,명문가 양반 집 자손이면 이해라도 가는데 지금 대한민국 국민 99 는  쌍놈들이다 쌍놈들이 뭔 제사냐 지 들이 양 반 집이라는 놈들 족보는 다 들 있고 족보 있으면 대대손손 내려오는 문집들은 있고 이건 정말로 위조가 불가능하거든 하루 이틀만에 만들수도 없고 지식이 없으면 만드는것 자체가 불가능한게 문집이다 문집 없는것 들 다 쌍놈들이다 그리고 선조 로부터 내려오는 선산들은 다 있냐 이런거 하나라도 없는것 들은 다 쌍놈들이다,욕설,2
93,불법 광고 물로 철거 신고 해라 이기야,욕설,2
94,남편이랑 지금처럼 아프지 않고 오래 살았으면 좋겠어,긍정,0
95,악플 오지는 미개인들 솔 까 이병헌 꽃뱀 피해자 아님 간통 한 것도 아니고 협박 당해 꽃뱀 잡았는데 상주 진 못 할 망정 악플다냐 미투당한 것들이나 욕 해라 태진아도 방송 하고 음주 마약쟁이 전과자도 방송 한 다미 개인들아,욕설,2
96,좌파의 최고봉 북한으로 가서 행복하게 살거라,욕설,2
97,이번 프로젝트는 완벽하게 준비한 거 같아 기분 좋아,긍정,0
98,건너편 이웃 사람이 어제 저녁까지는 건강했는데 오늘 아침에 세상을 떠났다네,부정,1
99,내 여자친구가 나를 이용 했다는 사실을 알게 되어 슬퍼,부정,1
100,평생 일만 하느라 건강 관리를 못하고 살아온게 억울해,부정,1
101, 노래 잘 한다,긍정,0
102,학교 갈 때 엄마가 왜 동생한테 만 인사를 해주는 걸까 나도 받고 싶은데,부정,1
103,살면서 한번도 당 한적이 없는데,욕설,2
104,저렇 케 이쁜데 엥 건 모씨는 엥  처녀 잖아 아까 비 젊고 싱싱한 넘하고 먼저 살아 보고  그 담에 해두 받아줄듯 인물 직업 돈도 뭐 쓸만큼 벌겠구먼  엥,욕설,2
105,대학 입시 실기 시험이 곧이야 떨려,부정,1
106,얘 말 하는거 커여웡 입에 내꺼 물리 고시 펑,욕설,2
107,아들이 내가 자기를 위해 희생 하지 않는다고 생각 해서 억울해,부정,1
108,찐 농도 ㅈ 대네,욕설,2
109,친구들과 만나기 위해서 나만 노력하고 다른 친구들은 아무 것도 안 하고 있는 게 당황 스럽고 화가 나,부정,1
110,이렇게 모여서 회의 해도 해결 책이 안 나올 것 같아,부정,1
111,몸이 몹시 아픈데 가족 중에 아무도 나에게 관심이 없는 것 같아 당황 스러워,부정,1
112,노래 좋다 ,긍정,0
113,나를 믿고 도와준 직장 동료들 덕분에 일이 수월하게 끝났어 행복해서 날아갈 것 같아,긍정,0
114,관절 기능 문제로 정형외과를 일주일에 세 번이나 갔어 내 몸이 지긋지긋하게 느껴져,부정,1
115,이제까지 힘들었는데 우리 선생님께 이번에 말씀 드리니까 언제든지 고민 들어주시겠대,긍정,0
116,저번에 국밥집 갔는데 맛도 씨발 별로 면서 존나 씨발 싸가지 없길래 사장 보는데서 국밥에 침 뱉고 존나 씨발 맛없네 하고 나가서 옆집 감 ,욕설,2
117,사고 쳐서 낳 은애이 면서 둘이 ㅣ 꼴잖내 ㅉㅉ,욕설,2
118,성 태형 개멋 있다 이렇게 사회적으로 기부 하는거 좋다 형 이대로 꽃길만 걷자,긍정,0
119,위염에 좋은 것만 먹는데도 왜 낫질 않지 어떻게 해야 할지 화가 나,부정,1
120,다른 친구들은 방과 후에 학원에 가는데 나는 아르바이트를 하러 가야 해,부정,1
121,집사람이 화가 많이 났어 당황 스러워,부정,1
122,길고양이를 혐오 하는 모임의 오픈 채팅 방이 만들어지고 그 안에서 고양이 학대 영상을 공유 하는 사람들이 버젓이 존재하지만 또 한편 이렇게 거리의 작은 생명을 가엽게 여기시고 소중히 살리는 분들도 계시네요 다정하고 따뜻하신 분 복 받으실거에요 대단히 감사합니다,긍정,0
123,팔이 저리다고 몇 번이나 말 했는데 자식들은 기억도 못 해서 분노했어,부정,1
124,겉으로 정상적 인척 해도 좀만 떠봐도 존나 티남 ,욕설,2
125,만성 두통으로 순간 정신을 못 차린 사이에 교통사고가 나서 당황 했어,부정,1
126, 니들 이자스민 종교가 뭔 지 아냐 ,욕설,2
127,남편이 폐암 진단을 받았는데 자식들은 그게 나 때문이라니 서럽고 억울해,부정,1
128,한때 국민 여동생 이었던 사람이 이제는 사람들을 감싸주는 사람이 되었네요,긍정,0
129,김구라 범죄자 모습 같어,욕설,2
130,어제 아들이 내게 충격을 주었어,부정,1
131,이 새 기 결국 한 여 잖아 나중에 미투 짓 할게 뻔하지,욕설,2
132,오늘 최종 면접 합격 발표 날이야 떨려,부정,1
133,으앜 똥 냄새,욕설,2
134,누구여 이 개 10 듣보 들은 ㅡㅡ,욕설,2
135,글자 하나를 잘못 보고 다른 답을 써 버렸어 난 멍청한 것 같아,부정,1
136,남자 친구 몰래 다른 남자를 만나 남자 친구에게 상처를 준 것이 후회 돼,부정,1
137,요즘 자녀 세대는 자리 잡기가 힘든 거 같아,부정,1
138,저기가 일베라 치면 여긴 대 깨 문과 조선족 밭인가 솔직히 틀린말도 안 했 자나,욕설,2
139,길이 막히지 않아서 평소보다 일찍 집에 도착 했는데 부모님이 내 욕을 하고 있어서 상처 받았어,부정,1
140,할아버지 댁에 안 가고 혼자 남았는데 형이 용돈을 많이 받아 온 걸 보니 후회되네,부정,1
141,신다은 관종끼 개극혐 우린 이렇게 살아요 개극혐,욕설,2
142,내가 살아있을 때 기생충 구더기 곱등이 연가시 엑 시구아 바퀴벌레 시궁창 쥐 새끼들한테 애 미 애비가 창자까지 돌림빵 쳐 당한 유사 인류 헬 짱깨 종이 호랑이에 미 뒤진 걸레 갈 보개 씹 창년 허 벌 보지 니미 씹 창 좆 물통을 사시미로 토막 내고 도려낸 다음에 마체테로 찢어 죽여 버릴 육 변기 개 갈 보지 씹 창년 새끼들 쳐 망하는걸 볼수 있다면 그걸 로도 감사한거지 ㅇㅇ,욕설,2
143,내가 아내 때문에 못 살겠어 내 아내는 튀어도 튀어,부정,1
144,내 말이 그 말이다 우리나라 동성애 한다고 회사에서 쫓겨나고 벌금 내고 승진 기회 박탈하고 처벌 하는 나라가 아니잖아 근데 도 차별금지법이라니 기가 찬다,욕설,2
145,건강에 열등감을 느껴,부정,1
146,고딩이 그 마 찍은게 자랑 ㅇ 임  존나 부모 억 장 나가겠네 친척들한테 저 그 마에요 자랑 해보실길 공부나 쳐하지 대한민국 미래 참 밝네,욕설,2
147,개최 국은 자동 진출,욕설,2
148,456 쌍 싸다구 개 웃김 ,긍정,0
149,홍진영 우리나라에 보배 입니다,긍정,0
150,역시 믿고 보는,긍정,0
151,와 아버지가 자식을 진심으로 사랑하고 뿌듯하게 바라보고 주변에 자랑하고 시골에서 하교 길에 놀면서 하교하고 그러다 보니 카이스트 총장이 되고 이 총장님도 자기가 하고 싶은대로 다 하면서 놀거 다 놀고 엉뚱한 제자들을 다 이해 해주며 가르치니 이제는 그 제자가 네이버 회장 넥슨 회장 보안 업체 회장 ai 간부에 보안 업체 대표에  선 순환 고리의 연속이네 요 역시 상대를 이해하고 배려하고 진심으로 사랑하고 좋아하면 상대는 훌륭하게 성장하여 또다른 사람에게 영향을 끼치는 것 이군요 그러니 악플달지 맙시다 나쁜말은 계속 나쁜사람들을 만들어내고 좋은 말은 계속 좋은 말을 만들어내는듯,긍정,0
152,중간에 분홍 걸레 뒤집어 쓴 사람 누구냐 자살 충 동 만 느끼지말고  죽었으면 좋것다,욕설,2
153,시장에 썬 그라스 쓴 아지 매 가슴에 좃문대고 싶다,욕설,2
154,청소기 시발 극혐이네 다이슨 미만 전부 짭,욕설,2
155,십년 뒤 달력 좋다,긍정,0
156, ㅣ 발 나만 제목 보고 ㅈㄴ 기대하면서 들어왔는데 대화도 안 할껀데 왜 들어온거야,욕설,2
157,신장이 망가져서 매주 신장 투석을 하며 관리를 잘 하지 못한 걸 깊게 후회하고 있어,부정,1
158,혜경궁은  말만 함 실천을 안함 언론에 홍보 비 주고 언플은 ㅈㄴ 함,욕설,2
159,매주 휴일 조기 축구 회에 나가는데 요즘 몸이 내 몸 같지 않아 화가 나,부정,1
160,병원에 갔는데 내가 고도 비만이래,부정,1
161,걔네가 시키는 대로 하는 것도 지쳐 따돌림이 두려워 시키는 대로 했는데 이 젠 힘들어,부정,1
162,이서진 노인네 들하고 놀면 늙어 바보야,욕설,2
163,안 생긴 스타 봉태규 유해진 정종철 태규는 한예슬과 논스톱 4에서 입술을 쭉쭉 빨았지 졸부,욕설,2
164,시작 할 때 아이유인 줄 ,긍정,0
165,정신 좀 차려라 징징아,욕설,2
166,블 박차 ㅂ이네 앞차 브레이크 밟으면 같이 밟아야지  가고있어 ,욕설,2
167,자식들은 늙은 나를 신경 쓰는 것이 귀찮을거야,부정,1
168,병원에서 입원 해서 누워있으니까 눈물이 나와,부정,1
169,저 걸뽀님한테 고백 할거있어요 저 누나 좋아해요 코코도,긍정,0
170,한심한 놈들,욕설,2
171,여자친구가 연락이 되지 않아 슬퍼,부정,1
172,다미 배우님 이태원 클라 쓰 때부터 좋다,긍정,0
173,직장에서 나만 따돌리고 있어 이건 다 큰 어른들이 할 짓이 아냐,부정,1
174,아직 무릎이 아플 나이가 아닌 거 같은데 무릎이 아파서 당황 스러워,부정,1
175,어른들 특유의 따뜻하면서 짬에서 나오는 거침 없는 손길  새끼고양이가 회복하고 꽥꽥 우는게 안쓰러우면서도 귀엽네요 처음 상태가 막막 해보이는데 살리시다니 대단하세요  희망을 버리지 않는 것 배워 갑니다 포기하고 싶을 때 또 보러 올게요,긍정,0
176,상사가 성희롱적인 발언을 일삼아 서 기분이 나빠,부정,1
177,훈련소에서 좆뺑 이치 다가 이 거 노래들 으 면 힐링 되 긴하거라 ,욕설,2
178,어떻게 앨범이랑 목소리랑 똑같지 음질이고 완전 똑같네  좋다,긍정,0
179,도대체 어디 갔는지 모르겠어 중요한 유 에스 비인데,부정,1
180,암 내 치즈 누렁 내 날꺼 같음,욕설,2
181,여친이랑 싸우고 페북 보다가 보고 유튜브 검색하고 들어 왔는데 노래 듣고 여자친구 보고싶어 지네요 감사합니다 구독 눌렀어요 자주와 들을게요 많이 활동 하셔서 꼭 음악으로 성공하세요 노래에 진심이 담겨 있어 좋아요,긍정,0
182,저런 시설 대 대적으로 조사 한번 들어가서 뒤집어 엎어야 한다 저런데가 한두 군데 겠냐,욕설,2
183,ㅂ 인증 ,욕설,2
184,저 벤치 들어오면 공짜 충 노숙자 틀 딱 김여사 전용 나와 바리 됨,욕설,2
185,여자 친구는 내 자존감을 깎아내려 분노가 치밀어 올라,부정,1
186,이마트 트 레이더스에 명품 가방 코너 있는 곳이 있던데 그 곳이 였으면 큰일 날뻔 ,긍정,0
187,집이 너 무크고 방이 많아서 이제야 만나서 합의 이혼 하는 건가 ,욕설,2
188,오랫동안 못 만났던 친구들이 다 들 건강히 잘 살고 있어 감사해,긍정,0
189,짐 홍진영님 중국서 디게 인기 있는거 아시는지요 상상밖에 있음,긍정,0
190,사춘기인 동생이 가끔 나한테 반항 할 때 어떻게 해야 할지 모르겠어,부정,1
191,솔직히 200 도 비싸 시발 200 벌면서 집에서 띵까띵까 한다 죄다 그거 하지 시발,욕설,2
192,짤은 꼴리노,욕설,2
193,주변 사람들이 내 강한 인상만 보고 다가오는 걸 어려워하는 것 같아서 스트레스 받아,부정,1
194,여자가 감히 욕을 해 좀 맞자 가 정상이라는 한국 남자들 역시 그 성별 엄청 감정적이네,욕설,2
195,0618 내가 가장 좋아하는 포인트 멋지십니다,긍정,0
196,아이유 좋아하는 한국인 찾습니다  외국인들 사이에서 길을 잃었나 봐요 외로워요,긍정,0
197,왜들이래 인류 애가 뭔 지도 모르는 것들이 꼭 이렇게 난리들이다 힘든 상황에 있는 사람에게 응원 하는데 뭐 갑론을 박이냐 힘내라 중국이든 세계 어디든 우리나라는 포함 아니겠냐,욕설,2
198,와 저런 년 밑에서 자라는 애 새끼들이 불쌍하노,욕설,2
199,한국의 랜 디포 시 교수님 이 시다  멋져요,긍정,0
200,나는 소심해서 부모님한테 싫은 소리를 조금만 들어도 자꾸 주눅이 들어 우울해,부정,1
201,억울하네 팀원 한 사람의 실수로 다시 회의 소집 해야 해,부정,1
202,노가다 하루 벌어 10만원 버는 애들한테 5천원 을 빼앗아 버림 저 썅년은 송장 될 때까지 사면 하면 안됨,욕설,2
203,와 그 당시에 서울대 법대 나온것부터 대단하시네요,긍정,0
204,결혼하고 싶은 남자를 만났어 아주 믿음 직 스러워,긍정,0
205,이 세상은 명문대 출신만 좋아하는 것 같아서 슬퍼,부정,1
206,아 사랑 해 코코야,긍정,0
207, 이 게뭐야 시발 ,욕설,2
208,좋아요,긍정,0
209,숏박스는 광고를 잘 함 ,긍정,0
210,이번 달은 콜레스테롤 수치가 생각보다 덜 내려갔어 실망 스럽네,부정,1
211,지 똥 갑지 금 똥 싸러 갑니다,욕설,2
212,좋은 콜라보다,긍정,0
213,아 형 귀엽다,긍정,0
214,나도 한국인인데 아이유 엄청 예쁘다,긍정,0
215,멋진 드라마를 이렇게 다시 보니까 좋아요,긍정,0
216,지 들이 동물이니까,욕설,2
217,안 묻혔는데 일베충들 지 들 끼리 묻혔다고 음모론 펼치는 중,욕설,2
218,같이 공부 하던 친구들과 함께 노력하고 서로 응원을 해서 가고 싶은 대학에 갈 수 있게 되었어,긍정,0
219,애초에 비주 얼이 저러면 구 독자 없어서 무슨 발언을 해도 논란 안됨 ㅁㅈ 달게 받으렴,욕설,2
220,난 당구에 관심도 없는데 남자 친구가 자꾸 같이 하자고 해서 짜증나,부정,1
221,당신은 아름다운 목소리를 가지고 IU,긍정,0
222,귀엽다 고양이 무슨 종이지 ㅇㅇ,긍정,0
223,니 같은거 자살 하면 ㄹㅇ 아무 도동 정안 해줌 ,욕설,2
224,얘 전에 후원자랑 뭔 일터 졌던거 같은데 벌써 결혼이야  그 일 있고나서 완전 비호감 됐는데 이왕 이렇게 가는거 은퇴도 같이 하는건 어때 이미 논 외로 친지 오래라  잘 가라 어차피 관심 밖인데  짜 저 있기를,욕설,2
225,내가 독거 노인이 될 줄이야 외롭고 혼자라는 느낌이야,부정,1
226,중년이 되니까 자꾸 나잇 살이 쪄서 억울해,부정,1
227,7 둥이 영상 시리즈 넘 좋아여  넘 사랑스럽고 다해 ,긍정,0
228,아내와 같이 응원 하던 야구 팀이 우승을 했어,긍정,0
229,이런 씨발련이,욕설,2
230,피 싸개 새끼들 인권을 왜 챙겨 니 메 갈하냐,욕설,2
231,친일 청산 시즌 2 찍노 ,욕설,2
232,공부 할 것은 많은데 막상 하려면 할 공부가 뭔 지도 모르겠어,부정,1
233,내가 이렇게 나이가 들어 버려서 당혹스럽네 예전엔 턱걸이도 백 개씩 했는데 말이야,부정,1
234,내 직업이 십년 안에 기계로 대체 될 거래,부정,1
235,시어머니가 자꾸 아들을 낳으라는 말씀을 하셔서 불안해,부정,1
236,이 정도면 존못은 아닌듯,욕설,2
237,이번 시즌 정규 시즌 전승에 플 옵 3 대 0 팬 입장으로써 행복한 시즌 이었습니다 마지막으로 선수분들이 행복한 시즌 이 셨으면 좋겠습니다 우승 가즈아,긍정,0
238,나를 따돌리는 애들이 우리 반에 못 오게 선생님이 막아주시겠대 마음이 놓여,긍정,0
239,드라마에 ost 가 크게 한몫 한 것 같아 좋아요 이 드라마 팬인데 노래랑 같이 보니 더 좋은 거 같아요 ost 리스트 다 좋음 ,긍정,0
240,예 상치 못한 상황이 생기면 어떻게 해야 할지 모르겠어 돌발적으로 화를 듣는 것도 상처야,부정,1
241,반 친구들이 나에게도 잘못이 있다고 얘기 해서 속상해,부정,1
242,개 소리 머 엉,욕설,2
243,엄마한테 혼나는데 형이 한 거라고 떠 넘겼어 생각보다 심하게 혼나서 당황 스러워,부정,1
244,처음으로 3분 보고 껐다 ㅂ,욕설,2
245,개 쳐 늙으면 꼴 보기 싫어지는게 사람의 마음이지 얘네야 광고 수익으로 번게 많으니 얼굴에 돈들이고 관리 하니 금술이 당연히 좋을수밖에 사람이란 다 그런거 임 아무리 이쁘고 잘생겼어도 관리 안하면 상대 쪽에서 싫어하게 되어있음,욕설,2
246,내가 병들어 회복할 기미가 없자 아내가 이혼 하자네,부정,1
247,이번 기말고사에서 전부 백 점을 받았어 이런 적은 처음이야,긍정,0
248,어제 아내가 애들과 함께 가족 여행을 떠났어 나만 빼고 말이야,부정,1
249,사랑하고 존경 합니다,긍정,0
250,세상에 내 비밀을 털어놓을 사람이 아무도 없는 것처럼 느껴져 제일 친한 친구한테 상처 받았어,부정,1
251,건강검진 결과가 나왔는데 내가 암이래 건강 관리를 얼마나 열심히 했는데,부정,1
252,지윤아 소신이라는 단어는 이럴 때 쓰는게 아니다 공부 좀 하자,욕설,2
253,요즘 세상에는 참 끔찍한 일들이 많이 일어나,부정,1
254,친구들과 한강에 가서 치킨과 맥주를 마셔서 느긋하고 좋았어,긍정,0
255,은퇴하고 만 성 질환으로 몸이 아파,부정,1
256,친구 장례식에 갔는데 직장 생활을 오래 해서 그런지 화환이 많더라고 부럽더라,부정,1
257,얼마 전에 결혼반지를 잃어버렸는데 어제 집에서 결혼반지를 찾다가 아들에게 들켜 버렸어,부정,1
258,오늘 엄마랑 아빠가 싸우는데 난 그게 무섭고 괴로워,부정,1
259,기존께 좋아용,긍정,0
260,세상에 이건 구독 할만 하다 구독만 해도 기부를 하는 느낌 허 팝님 대단하신거 같아요 우주 뿌셔,긍정,0
261,핥 트니까 코코 맨붕옴 완전 귀엽다 ,긍정,0
262,병신 ,욕설,2
263, 글뽀누나 웃는거 개 좋아 늘 웃게 행복했으면 좋겠당,긍정,0
